plant-id,user-id,garden-id,name,species,planted_date,notes
11,59,74,Quince,Cydonia oblonga Mill.,1/27/2026,"Nunc rhoncus dui vel sem. Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus."
12,56,44,Obedient Plant,Physostegia virginiana (L.) Benth. ssp. virginiana,7/14/2025,"Integer ac neque. Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus. In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus. Suspendisse potenti."
13,83,48,Bundleflower,Desmanthus Willd.,9/19/2025,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat. In congue. Etiam justo. Etiam pretium iaculis justo. In hac habitasse platea dictumst. Etiam faucibus cursus urna."
14,81,72,Carlquist's Tarweed,Carlquistia B.G. Baldw.,4/30/2026,"Suspendisse potenti. Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia."
15,45,58,Circumpolar Sedge,Carex adelostoma Krecz.,5/5/2026,Quisque ut erat.
16,80,80,Commelina,Commelina tuberosa L.,9/5/2025,"Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue."
17,6,9,Sakaki,Cleyera japonica Thunb.,7/7/2025,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus."
18,76,59,Huon Pine,Dacrydium franklinii Hook. f.,4/26/2026,Aenean sit amet justo. Morbi ut odio.
19,55,74,Blue Sage,Salvia pachyphylla Epling ex Munz,5/24/2025,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus. Pellentesque at nulla. Suspendisse potenti."
20,10,28,Woodland Wild Coffee,Psychotria hexandra H. Mann ssp. hexandra var. hexandra,10/18/2025,"In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus. Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat."
21,16,98,Fenceline Dewberry,Rubus exsularis L.H. Bailey,10/1/2025,Mauris lacinia sapien quis libero.
22,91,48,Crossleaf Heath,Erica tetralix L.,9/22/2025,"Fusce consequat. Nulla nisl. Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum. In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante."
23,58,9,Loeskeobryum Moss,Loeskeobryum brevirostre (Brid.) Fleisch.,9/19/2025,Praesent blandit lacinia erat.
24,88,40,Common Serviceberry,Amelanchier arborea (Michx. f.) Fernald,12/6/2025,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus."
25,64,58,Stanford's Manzanita,Arctostaphylos stanfordiana Parry,1/9/2026,"Proin risus. Praesent lectus. Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis. Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor."
26,62,48,Slough Thistle,Cirsium crassicaule (Greene) Jeps.,4/3/2026,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus. Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus."
27,9,54,Psorula Lichen,Psorula Gotth. Schneid.,8/21/2025,Ut tellus.
28,92,9,Phascum Moss,Phascum hyalinotrichum Cardot & Thér.,12/17/2025,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.
29,80,86,Sand Ryegrass,Leymus arenarius (L.) Hochst.,1/19/2026,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis."
30,44,42,Southwestern Ringstem,Anulocaulis leiosolenus (Torr.) Standl. var. lasianthus I.M. Johnst.,3/8/2026,Donec posuere metus vitae ipsum. Aliquam non mauris.
31,97,7,Hierba Del Sapo,Eryngium nasturtiifolium Juss. ex Delar. f.,9/24/2025,"Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat. Nulla nisl."
32,59,22,Tall Tonguefern,Elaphoglossum alatum Gaudich. var. alatum,2/1/2026,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl. Aenean lectus."
33,78,20,Saquiyac,Miconia affinis DC.,11/14/2025,Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat. Curabitur gravida nisi at nibh. In hac habitasse platea dictumst.
34,8,44,Wiry Snapdragon,Sairocarpus vexillocalyculatus (Kellogg) D.A. Sutton,6/30/2025,"Nulla tempus. Vivamus in felis eu sapien cursus vestibulum. Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem. Duis aliquam convallis nunc."
35,30,39,Black Baneberry,Actaea racemosa L.,5/4/2026,"In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet. Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui. Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc."
36,71,18,Little Walnut,Juglans microcarpa Berl. var. microcarpa,8/27/2025,Praesent blandit. Nam nulla.
37,57,22,Aulacomnium Moss,Aulacomnium heterostichum (Hedw.) Bruch & Schimp.,10/22/2025,"Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris. Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis. Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem."
38,59,51,Poison Ash,Comocladia dodonaea (L.) Urb.,1/30/2026,Curabitur convallis.
39,100,77,Bigleaf Periwinkle,Vinca major L.,12/7/2025,"Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum. Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem. Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit. Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue."
40,96,55,Common Madia,Madia elegans D. Don ex Lindl. ssp. elegans,11/25/2025,"Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis. Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem. Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci."
41,39,5,Mediterranean Rabbitsfoot Grass,Polypogon maritimus Willd.,4/18/2026,"Morbi ut odio. Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl."
42,88,86,Tansy Rosinweed,Silphium pinnatifidum Elliott,12/20/2025,Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum.
43,55,80,Common Oat,Avena sativa L.,3/15/2026,Quisque porta volutpat erat.
44,77,8,Pterygoneurum Moss,Pterygoneurum Jur.,6/20/2025,"Sed ante. Vivamus tortor. Duis mattis egestas metus. Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros."
45,75,58,Threenerve Goldenrod,Solidago velutina DC.,2/17/2026,"Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat. Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem."
46,22,10,Nightshade,Solanum phureja Juz. & Buk.,3/26/2026,Donec ut dolor.
47,19,10,Coconut Palm,Cocos L.,7/7/2025,Aenean fermentum. Donec ut mauris eget massa tempor convallis.
48,84,90,Birdwood Grass,Cenchrus setiger Vahl,2/14/2026,"Morbi a ipsum. Integer a nibh. In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet. Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui. Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc."
49,49,49,Mt. Lassen Draba,Draba aureola S. Watson,8/10/2025,"Aenean sit amet justo. Morbi ut odio. Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices."
50,78,88,Prairie Rosinweed,Silphium terebinthinaceum Jacq. var. terebinthinaceum,4/3/2026,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est.
51,74,20,Oriental Pennisetum,Pennisetum orientale (Willd.) Rich.,4/10/2026,"Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh. In quis justo."
52,37,19,Splitlip Hempnettle,Galeopsis bifida Boenn.,8/29/2025,"Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat. Nulla nisl. Nunc nisl."
53,52,40,Green Flatsedge,Cyperus virens Michx.,11/26/2025,Donec dapibus. Duis at velit eu est congue elementum. In hac habitasse platea dictumst.
54,2,87,Drummond's Anemone,Anemone drummondii S. Watson,11/8/2025,"Nullam molestie nibh in lectus. Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Etiam vel augue. Vestibulum rutrum rutrum neque."
55,61,17,Yellow Hawkweed,Hieracium fendleri Sch. Bip. var. discolor A. Gray,11/22/2025,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum. In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo. Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros."
56,67,14,Dogwoodleaf,Spiracantha Kunth,7/26/2025,Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis. Sed ante. Vivamus tortor. Duis mattis egestas metus. Aenean fermentum.
57,62,62,Shieldfern,Lastreopsis Ching,6/22/2025,Nunc rhoncus dui vel sem.
58,32,52,Silverleaf Ponysfoot,Dichondra sericea Sw.,12/24/2025,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl. Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum."
59,64,13,Henry's Spiderlily,Hymenocallis occidentalis (Leconte) Kunth var. eulae (Shinners) G. Lom. Sm. & Flory,2/22/2026,"Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem. Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit. Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque. Duis bibendum. Morbi non quam nec dui luctus rutrum."
60,80,68,Rosette Lichen,Physcia phaea (Tuck.) J.W. Thomson,1/10/2026,"Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus."
61,36,49,Mahogany Mistletoe,Phoradendron rubrum (L.) Griseb.,1/27/2026,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh. In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet."
62,55,50,Lemmon's Ceanothus,Ceanothus lemmonii Parry,1/3/2026,Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh. In quis justo.
63,52,2,Shasta Clover,Trifolium productum Greene,12/31/2025,Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh. In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.
64,4,1,Indiangrass,Sorghastrum Nash,11/23/2025,"Morbi ut odio. Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl. Aenean lectus."
65,99,92,Roundleaf Catchfly,Silene rotundifolia Nutt.,10/20/2025,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque. Duis bibendum. Morbi non quam nec dui luctus rutrum."
66,5,99,Dot Lichen,Arthonia pruinosella Nyl.,8/19/2025,"Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus. Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam. Nam tristique tortor eu pede."
67,96,48,Howell's Jewelflower,Streptanthus howellii S. Watson,8/1/2025,"Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio. Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim."
68,54,98,Twoscale Saltbush,Atriplex micrantha Ledeb.,2/7/2026,"Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio. Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices."
69,65,26,Alpine Tetramolopium,Tetramolopium humile (A. Gray) Hillebr. ssp. humile var. humile,12/9/2025,"Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat. Nulla nisl. Nunc nisl."
70,5,74,Cliff Bittercress,Cardamine rupicola (O.E. Schulz) C.L. Hitchc.,8/3/2025,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti. Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris."
71,18,55,Hairy St. Johnswort,Hypericum setosum L.,12/3/2025,Etiam justo. Etiam pretium iaculis justo. In hac habitasse platea dictumst. Etiam faucibus cursus urna.
72,95,98,Lobelia,Lobelia L.,10/14/2025,"Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo. Aliquam quis turpis eget elit sodales scelerisque."
73,47,40,Whitecolumn Foxtail Cactus,Escobaria tuberculosa var. tuberculosa (Engelm.) Britton & Rose,11/26/2025,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus. Pellentesque at nulla. Suspendisse potenti."
74,60,94,Western Dock,Rumex aquaticus L. var. fenestratus (Greene) Dorn,3/12/2026,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Etiam vel augue. Vestibulum rutrum rutrum neque."
75,33,12,Whitney's Clarkia,Clarkia amoena (Lehm.) A. Nelson & J.F. Macbr. ssp. whitneyi (A. Gray) F.H. Lewis & M.E. Lewis,8/11/2025,"Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris. Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis. Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem. Sed sagittis."
76,47,13,North Idaho Monkeyflower,Mimulus clivicola Greenm.,12/1/2025,"Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi. Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus."
77,75,12,Wart Lichen,Verrucaria caerulea DC.,9/7/2025,"Nunc rhoncus dui vel sem. Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus. Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus."
78,27,63,Dwarf Stickpea,Calliandra humilis Benth. var. reticulata (A. Gray) L.D. Benson,4/5/2026,"Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh."
79,47,80,Largeflower Wild Hollyhock,Iliamna grandiflora (Rydb.) Wiggins,7/1/2025,"Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est. Phasellus sit amet erat."
80,7,76,Lotononis,Lotononis (DC.) Eckl. & Zeyh.,4/14/2026,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti."
81,48,54,Great Plains Bladderpod,Lesquerella arenosa (Richardson) Rydb. var. argillosa Rollins & Shaw,8/28/2025,"Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl. Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est. Phasellus sit amet erat. Nulla tempus."
82,22,28,Grassland Tarweed,Deinandra increscens (H.M. Hall ex D.D. Keck) B.G. Baldw.,12/28/2025,"Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam."
83,98,52,Desertstar,Monoptilon Torr. & A. Gray,10/28/2025,Integer ac neque. Duis bibendum.
84,16,63,Dwarf Mountain Lupine,Lupinus lyallii A. Gray ssp. lyallii,1/5/2026,"Mauris sit amet eros. Suspendisse accumsan tortor quis turpis. Sed ante. Vivamus tortor. Duis mattis egestas metus. Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh."
85,98,55,Holzinger's Venus' Looking-glass,Triodanis holzingeri McVaugh,8/21/2025,"Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh. In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet. Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam."
86,23,35,Sandhill's Blazing Star,Liatris cokeri Pyne & Stucky,7/21/2025,"Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros."
87,52,76,Mojave Pricklypoppy,Argemone corymbosa Greene ssp. arenicola G.B. Ownbey,8/20/2025,Integer a nibh. In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.
88,44,35,Pitchfork,Dicranocarpus parviflorus A. Gray,2/23/2026,"Proin risus. Praesent lectus. Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis."
89,1,6,Hoskett Meadows Lupine,Lupinus culbertsonii Greene ssp. culbertsonii,6/30/2025,Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.
90,42,43,Eared Dwarf Gentian,Gentianella auriculata (Pall.) J.M. Gillett,10/9/2025,"Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est."
91,60,53,Bingen Lupine,Lupinus bingenensis Suksd. var. subsaccatus Suksd.,3/14/2026,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus. Praesent lectus. Vestibulum quam sapien, varius ut, blandit non, interdum in, ante."
